Date,Close,Open_lag1,High_lag1,Low_lag1,Close_lag1,Adj Close_lag1,Volume_lag1,AROONOSC_lag1,RSI_lag1,RSI1_lag1,DX_lag1,AD_lag1,OBV_lag1,ATR_lag1,NATR_lag1,TRANGE_lag1,CDLENGULFING_lag1,CDLHANGINGMAN_lag1,CDLSHOOTINGSTAR_lag1,CDLHAMMER_lag1,
13/10/2017,5647.209961,4829.580078,5446.910156,4822,5446.910156,5446.910156,2791610112,100,95.59925945,94.03517691,97.63502271,5757129693,13820147968,245.2917547,3.627589077,197.5915179,0,0,0,0,
14/10/2017,5831.790039,5464.160156,5840.299805,5436.850098,5647.209961,5647.209961,3615480064,100,96.44342618,95.08663175,98.9423394,5911893497,17435628032,271.6514135,3.759301951,212.2956742,0,0,0,0,
15/10/2017,5678.189941,5643.529785,5837.700195,5591.640137,5831.790039,5831.790039,1669030016,83.33333333,97.06583122,95.86943649,98.9423394,7500746110,19104658048,267.3861877,3.6816726,214.707416,0,0,0,0,
16/10/2017,5725.589844,5835.959961,5852.47998,5478.609863,5678.189941,5678.189941,1976039936,100,82.6264585,83.02701256,21.65420773,7634413191,17128618112,285.1335092,3.981483231,226.0761803,0,0,0,0,
17/10/2017,5605.509766,5687.569824,5776.22998,5544.209961,5725.589844,5725.589844,2008070016,66.66666667,83.53354611,83.80792455,21.65420773,8765930051,19136688128,276.281261,3.95593723,226.5007403,0,0,0,0,
18/10/2017,5590.689941,5741.580078,5800.350098,5472.720215,5605.509766,5605.509766,1821570048,66.66666667,72.09113606,73.77569593,38.64730455,8420937575,17315118080,284.8393646,4.16954497,233.7242505,-1,0,0,0,
19/10/2017,5708.52002,5603.819824,5603.819824,5151.439941,5590.689941,5590.689941,2399269888,50,70.6577288,72.52565884,88.75344354,10680934548,14915848192,313.0444412,4.462118676,249.46322,0,0,0,0,
20/10/2017,6011.450195,5583.740234,5744.350098,5531.060059,5708.52002,5708.52002,1780540032,-50,75.33654517,76.2572979,10.09548969,11863257348,16696388224,296.4187075,4.324753536,246.8794214,1,0,0,0,
21/10/2017,6031.600098,5708.109863,6060.109863,5627.22998,6011.450195,6011.450195,2354429952,33.33333333,83.46884132,83.12992203,61.6750524,13688368270,19050818176,319.1622367,4.327827066,260.1651686,0,0,0,0,
22/10/2017,6008.419922,5996.790039,6194.879883,5965.069824,6031.600098,6031.600098,2207099904,50,83.89276904,83.50055078,75.37703766,12759184233,21257918080,304.270207,4.277421286,257.9969465,0,0,0,0,
23/10/2017,5930.319824,6036.660156,6076.259766,5792.339844,6008.419922,6008.419922,2034630016,50,81.02443609,81.10898922,8.488348145,13821505004,19223288064,300.8784928,4.324740796,259.8485876,0,0,0,0,
24/10/2017,5526.640137,6006,6075.589844,5732.470215,5930.319824,5930.319824,2401840128,50,71.1842155,72.90149986,31.27157556,14189562551,16821447936,307.9186822,4.481992995,265.7965191,0,0,0,0,
25/10/2017,5750.799805,5935.52002,5935.52002,5504.180176,5526.640137,5526.640137,2735699968,50,40.60063976,45.27476128,76.28966045,11738759586,14085747968,328.4888758,5.023324035,277.6210423,0,0,0,0,
26/10/2017,5904.830078,5524.600098,5754.330078,5397.879883,5750.799805,5750.799805,1966989952,-66.66666667,53.82118023,56.06181088,85.27305902,13666787504,16052737920,333.1490957,4.925431343,283.2516961,0,0,0,0,
27/10/2017,5780.899902,5747.950195,5976.799805,5721.220215,5904.830078,5904.830078,1905040000,-66.66666667,60.9819939,62.0574672,28.35192923,14498931128,17957777920,320.2208447,4.763475212,281.2751171,0,0,0,0,
28/10/2017,5753.089844,5899.740234,5988.390137,5728.819824,5780.899902,5780.899902,1710130048,-66.66666667,53.04086307,55.01113735,32.65540421,13475040624,16247647872,310.1124227,4.838775599,279.7247739,0,0,0,0,
29/10/2017,6153.850098,5787.819824,5876.720215,5689.189941,5753.089844,5753.089844,1403920000,-50,51.24394062,53.42306831,5.967798998,13027876557,14843727872,289.6820645,4.747700103,273.1394524,0,0,0,0,
30/10/2017,6130.529785,5754.439941,6255.709961,5724.580078,6153.850098,6153.850098,2859040000,66.66666667,69.25547013,68.64229424,83.86789885,14790305604,17702767872,329.9233675,4.737966244,291.5673403,0,0,0,0,
31/10/2017,6468.399902,6114.850098,6214.990234,6040.850098,6130.529785,6130.529785,1772150016,66.66666667,67.51387969,67.15265405,83.86789885,14843419570,15930617856,303.9594957,4.619171472,283.1796829,0,0,0,0,
01/11/2017,6767.310059,6132.02002,6470.430176,6103.330078,6468.399902,6468.399902,2311379968,100,77.3963764,75.96803495,95.09002896,17129233032,18241997824,314.4829294,4.470564631,289.1739982,0,0,0,0,
02/11/2017,7078.5,6440.970215,6767.310059,6377.879883,6767.310059,6767.310059,2870320128,66.66666667,82.91428136,81.18090794,98.12380708,19999553160,21112317952,326.9741371,4.378920889,296.3351538,0,0,0,0,
03/11/2017,7207.759766,6777.77002,7367.330078,6758.720215,7078.5,7078.5,4653770240,83.33333333,86.90723063,85.1051491,99.46357437,20236211871,25766088192,373.9134248,4.501525608,318.6404902,0,0,0,0,
04/11/2017,7379.950195,7087.529785,7461.290039,7002.939941,7207.759766,7207.759766,3369860096,100,88.27325115,86.47215458,99.56161658,19878085190,29135948288,387.9862036,4.559249455,328.6197479,0,0,0,0,
05/11/2017,7407.410156,7164.47998,7492.859863,7031.279785,7379.950195,7379.950195,2483800064,100,89.94950587,88.16083547,99.60956867,21146732981,31619748352,400.2518494,4.581560923,338.1169143,0,0,0,0,
06/11/2017,7022.759766,7404.52002,7617.47998,7333.189941,7407.410156,7407.410156,2380410112,100,90.21711534,88.42955952,99.79049322,20009240493,34000158464,380.924881,4.512672182,334.2721375,0,0,0,0,
